,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
4051,580687:3,"The cafe downstairs is terrible, decoration is bad and smelly.",0.0,the cafe downstairs is terrible decoration is bad and smelly,60,the cafe downstairs is terrible decoration is bad and smelly,cafe downstairs terrible decoration bad smelly,6
4052,289202:153,"the second thing, just over the bridge, is the Hotel Antiche Figure, and what a welcome sight",0.0,the second thing just over the bridge is the hotel antiche figure and what welcome sight,88,the second thing just over the bridge is the hotel antiche figure and what welcome sight,second thing bridge hotel antiche figure welcome sight,8
4053,289202:153,"The location is perfect for bus and train station,and the water buses are right there.",0.0,"the location is perfect for bus and train station,and the water buses are right there",85,the location is perfect for bus and train stationand the water buses are right there,location perfect bus train stationand water buses right,8
4054,289202:153,"We found the staff at the hotel charming and helpful, and the accommodation very good.",0.0,we found the staff at the hotel charming and helpful and the accommodation very good,84,we found the staff at the hotel charming and helpful and the accommodation very good,found staff hotel charming helpful accommodation good,7
4055,289202:153,The recommended local restaurants were excellent.,0.0,the recommended local restaurants were excellent,48,the recommended local restaurants were excellent,recommended local restaurants excellent,4
4056,289202:153,No better place to stay in Venice.,0.0,no better place to stay in venice,33,no better place to stay in venice,better place stay venice,4
4057,259337:283,"A good value, with a few kinks",0.0,good value with few kinks,25,good value with few kinks,good value kinks,3
4058,259337:283,We stayed at the Palladium Grand Bavaro.,0.0,we stayed at the palladium grand bavaro,39,we stayed at the palladium grand bavaro,stayed palladium grand bavaro,4
4059,259337:283,The hotels grounds are immaculate.,0.0,the hotels grounds are immaculate,33,the hotels grounds are immaculate,hotels grounds immaculate,3
4060,259337:283,"The room ,a Romance Suite, was very spacious and near both the beach and pool.",0.0,the room romance suite was very spacious and near both the beach and pool,73,the room romance suite was very spacious and near both the beach and pool,room romance suite spacious near beach pool,7
4061,259337:283,We booked through Apple Vacations and their staff was competent and helpful.,0.0,we booked through apple vacations and their staff was competent and helpful,75,we booked through apple vacations and their staff was competent and helpful,booked apple vacations staff competent helpful,6
4062,259337:283,"Apple had 2 reps on duty in the hotel lobby and, since they spoke excellent English, they could help us with some of the kinks we had with the hotel.",0.0,apple had reps on duty in the hotel lobby and since they spoke excellent english they could help us with some of the kinks we had with the hotel,144,apple had reps on duty in the hotel lobby and since they spoke excellent english they could help us with some of the kinks we had with the hotel,apple reps duty hotel lobby since spoke excellent english could help us kinks hotel,14
4063,259337:283,"very clean, incredible beach, ample bars and watering holes all around the campus, excellent athletic facilities, and again cannot overemphasize the friendly staff.",0.0,very clean incredible beach ample bars and watering holes all around the campus excellent athletic facilities and again cannot overemphasize the friendly staff,159,very clean incredible beach ample bars and watering holes all around the campus excellent athletic facilities and again cannot overemphasize the friendly staff,clean incredible beach ample bars watering holes around campus excellent athletic facilities cannot overemphasize friendly staff,16
4064,259337:283,"I would recommend this place, but arm yourself with good information from people who have stayed there before.",1.0,would recommend this place but arm yourself with good information from people who have stayed there before,106,would recommend this place but arm yourself with good information from people who have stayed there before,would recommend place arm good information people stayed,8
